Block,Level,Unit,Building_name,House_number,Street_name,Township,Postcode,Locality_name,State,,
5,9,6,PUNCAK NUSA KELANA CONDOMINIUM,,JALAN PJU 1A/48,PUSAT DAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
,,,PUNCAK NUSA KELANA CONDOMINIUM,,JALAN PJU 1A/48,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
,,,PUNCAK NUSA KELANA CONDOMINIUM,,JALAN PJU 1A/48,PUSAT DAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
2,9,3,KONDOMINIUM PUNCAK NUSA KELANA,,JALAN PJU 1A/48,,47200,SUBANG JAYA,SELANGOR,,
3,3,1,PUNCAK NUSA KELANA CONDOMINIUM,,JALAN PJU 1A/48,PETALING JAYA - SEKSYEN SS 4 - SS 7,47301,PETALING JAYA,SELANGOR,,
6,3A,6,PUNCAK NUSA KELANA CONDOMINIUM,6,JALAN PJU 1A/48,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
3,6,3,PUNCAK NUSA KELANA CONDOMINIUM,,JALAN PJU 1A/48,PUSAT PERDAGANGAN DANA 1,47301,PETALING JAYA,SELANGOR,,
5,15,8,PUNCAK NUSA KELANA CONDOMINIUM,8,JALAN PJU 1A/48,,47301,PETALING JAYA,SELANGOR,,
,,,,45,JALAN SS 5A/8,SS 5,47301,PETALING JAYA,SELANGOR,,
E,4,11,KEDIAMAN KASTAM DIRAJA WILAYAH PERSEKUTUAN,11,JALAN SS 5/1,SS 6,47301,PETALING JAYA,SELANGOR,,
,,,KELANA PARKVIEW,,JALAN SS 6/2,SS 6,47301,PETALING JAYA,SELANGOR,,
,,,KELANA SENTRAL APARTMENT,,JALAN SS 6/8,SS 6,47301,PETALING JAYA,SELANGOR,,
B,3,3,KELANA MAHKOTA,,JALAN SS 7/19,SS 7,47301,PETALING JAYA,SELANGOR,,
A,22,3,KELANA MAHKOTA,,JALAN SS 7/19,SS 7,47301,PETALING JAYA,SELANGOR,,
C,12,1210,KELANA MAHKOTA,2,JALAN SS 7/19,SS 7,47301,PETALING JAYA,SELANGOR,,
B,19,12,KELANA MAHKOTA,2,JALAN SS 7/19,SS 7,47301,PETALING JAYA,SELANGOR,,
B,3,10,STERLING PJ LUXURY CONDO,,JALAN SS 7/19,SS 7,47301,PETALING JAYA,SELANGOR,,
B,6,11,STERLING CONDOMINIUM,11,JALAN SS 7/19,SS 7,47301,PETALING JAYA,SELANGOR,,
A,2,7,STERLING PJ LUXURY CONDO,,JALAN SS 7/19,SS 7,47301,PETALING JAYA,SELANGOR,,
,,,,35,JALAN SS 24/15,TAMAN MEGAH (KAMPUNG TUNKU),47301,PETALING JAYA,SELANGOR,,
,,,BESTNESS MOTORSPORT,2,JALAN PJU 1A/12,TAMAN PERINDUSTRIAN JAYA,47301,PETALING JAYA,SELANGOR,,
Q5,,,PANGSAPURI SRI MERANTI,,,BANDAR SRI DAMANSARA,47600,SUBANG JAYA,SELANGOR,,
