Block,Level,Unit,Building_name,House_number,Street_name,Township,Postcode,Locality_name,State,,
,,,SULTAN ABDUL AZIZ SHAH AIRPORT,,,LAPANGAN TERBANG SULTAN ABDUL AZIZ,47200,SUBANG JAYA,SELANGOR,,
,,,,17,JALAN SUBANG,KAMPUNG SRI MUHIBBAH,47200,SUBANG JAYA,SELANGOR,,
,,,KUALA LUMPUR AIR TRAFFIC CONTROL CENTRE,,,LAPANGAN TERBANG SULTAN ABDUL AZIZ,47200,SUBANG JAYA,SELANGOR,,
,,,GE ENGINE SERVICES MALAYSIA SDN. BHD.,,,LAPANGAN TERBANG SULTAN ABDUL AZIZ,47200,SUBANG JAYA,SELANGOR,,
,,,AIRBUS HELICOPTERS MALAYSIA SDN BHD,,,MALAYSIA INTERNATIONAL AEROSPACE CENTRE,47200,SUBANG JAYA,SELANGOR,,
,,,CENTRE OF EXCELLENCE COMPLEX,,,TAMAN PERINDUSTRIAN UEP,47600,SUBANG JAYA,SELANGOR,,
,,,,6,JALAN SS 5C/5,SS 5,47301,PETALING JAYA,SELANGOR,,
,,,DORSETT GRAND SUBANG,,JALAN SS 12/1,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,WISMA DICOR,,JALAN SS 17/1A,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,G,8,,8,JALAN SS 19/1D,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,"TAYLOR'S LAKESIDE CAMPUS, SUBANG JAYA",1,JALAN TAYLOR'S,SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,LOT 792,PERSIARAN SUBANG INDAH,TAMAN PERINDUSTRIAN SUBANG,47610,SUBANG JAYA,SELANGOR,,
,,,FIRST SUBANG,,JALAN SS 15/4G,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,G,42,,,JALAN SS 15/4C,SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,13,,SUNWAY GEO TOWER,,JALAN LAGOON SELATAN,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN PJS 7/9,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
,,,,29,JALAN PJS 9/8,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
A,7,2,SUNWAY SOUTH QUAYA'MARINE,,JALAN TASIK SELATAN,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
D,21,1,LACOSTA,,JALAN TASIK SELATAN,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
A,7,1,NAUTICA LAKE SUITES CONDOMINIUM,,JALAN TASIK SELATAN,SUNWAY SOUTH QUAY,47500,SUBANG JAYA,SELANGOR,,
,12,,SUNWAY SOUTH QUAY,,JALAN LAGOON SELATAN,SUNWAY SOUTH QUAY,47500,SUBANG JAYA,SELANGOR,,
,,,BAYROCKS GARDEN WATERFRONT VILLAS,46,PERSIARAN TASIK TIMUR,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
,,,,LOT 763-A8,JALAN SUBANG 4,ULTRAMINE INDUSTRIAL PARK,47500,SUBANG JAYA,SELANGOR,,
C,,07-Apr,USJ ONE AVENUE,,PERSIARAN SUBANG MEWAH,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
,,,,3,JALAN SS 12/3A,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,HOLIDAY VILLA,,JALAN SS 12/1 WANGSA BAIDURI,SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,SPRING VILLA CONDO,11,JALAN SS 12/1,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
A,18,5,SPRING SUMMER VILLA CONDOMINIUM,11,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,HOLIDAY VILLA,9,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
1,,,VAXIN CENTER @ SJMC MEDIPLEX,,JALAN SS 12/1A,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,4A,JALAN SS 12/1B,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,8 & 9,JALAN SS 12/1B,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,16,JALAN SS 12/1B,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,,JALAN SS 12/1C,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,14,JALAN SS 12/1D,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,11,JALAN SS 12/1D,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,9534,JALAN SS 12/1F,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,41,JALAN SS 12/2C,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,15,JALAN SS 12/2C,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,63,JALAN SS 12/2C,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN SS 12/2D,SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,72,JALAN SS 12/2D,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,70,JALAN SS 12/2E,SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,82,JALAN SS 12/2E,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,9,JALAN SS 12/3B,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,24,JALAN SS 12/4,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,38,JALAN SS 12/4,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,23,JALAN SS 12/4,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,15 06,SUMMER VILLA CONDOMINIUM,,PERSIARAN WANGSA BAIDURI 12/1,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
2,6,,BOULEVARD SUBANG CONDOMINIUM,,"JALAN WANGSA BAIDURI, SS12/1",SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,LOT 3606,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,103,SPRING SUMMER VILLA CONDOMINIUM,,PERSIARAN WANGSA BAIDURI 12/1,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,1305,SPRING VILLA CONDO,,JALAN SS12/1,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,BOULEVARD SUBANG CONDOMINIUMTHE BOULEVARD SUBANG JAYA,,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
T1,16,6,BOULEVARD SUBANG CONDOMINIUM,,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,SUBANG JAYA MEDICAL CENTRE,,JALAN SS 12/1,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
T2,3A,B,BOULEVARD SUBANG CONDOMINIUM,,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
T1,3,D,BOULEVARD SUBANG CONDOMINIUM,,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,BOULEVARD SUBANG CONDOMINIUMTHE BOULEVARD SUBANG JAYA,,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
T1,1,F,BOULEVARD SUBANG CONDOMINIUM,,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,BOULEVARD SUBANG CONDOMINIUM,,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,BOULEVARD SUBANG CONDOMINIUM,,JALAN SS 12/1 WANGSA BAIDURI,SS 12 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,1,JALAN SS 13/3B,SUBANG JAYA INDUSTRIAL ESTATE,47500,SUBANG JAYA,SELANGOR,,
O,3,,,2,JALAN SS 13/1B,SS 13 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
M,2,7,,,JALAN SS 13/1C,SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
L,1,2,,,JALAN SS 13/1C,SS 13 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
L,G,7,,,JALAN SS 13/1C,SS 13 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
K,1,3,,,JALAN SS 13/1D,SS 13 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
F,1,3,,,JALAN SS 13/1G,SS 13 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
G,,1,,,JALAN SS 13/1G,SS 13 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
C,1,8,,,JALAN SS 13/1J,SS 13 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
A,G,1,,,JALAN SS 13/1K,SS 13 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,4482,JALAN SS 13/2,SUBANG JAYA INDUSTRIAL ESTATE,47500,SUBANG JAYA,SELANGOR,,
,,,,34,JALAN SS 14/5H,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,,JALAN SS 14/ 8F,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
M,,6,,,JALAN SS 13/1C,SS 13 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,148,JALAN SS 14,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,188,JALAN SS 14,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,84,JALAN SS 14/1,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,,JALAN SS 14/1,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,97,JALAN SS 14/1A,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,,JALAN SS 14/1B,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,9,JALAN SS 14/1B,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,62,JALAN SS 14/2A,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,1,JALAN SS 14/2A,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,45,JALAN SS 14/2C,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,138,JALAN SS 14/3,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,26,JALAN SS 14/3A,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,,JALAN SS 14/4B,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,14,JALAN SS 14/5A,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,78,JALAN SS 14/5E,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,38,JALAN SS 14/5E,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,6,JALAN SS 14/5F,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,24,JALAN SS 14/5F,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,9,JALAN SS 14/5J,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,7,JALAN SS 14,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,8,JALAN SS 14/6,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN SS 14/6A,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,4,JALAN SS 14/6B,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,7,JALAN SS 14/6M,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,11,JALAN SS 14/7A,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,29,JALAN SS 14/7C,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,3,JALAN SS 14/7C,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,3,JALAN SS 14/7G,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,13,JALAN SS 14/7G,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,7,JALAN SS 14/8,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,6,JALAN SS 14/8B,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,28,JALAN SS 14/8C,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,3,JALAN SS 14/8E,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,13,JALAN SS 14/8F,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,43,JALAN SS 14/8G,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,1,,ALLIANCE DIRECT MARKETING SDN. BHD.,,JALAN SS 15/2A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,WISMA PROJASS,3,JALAN SS 15/2A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,28,JALAN SS 15/2B,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,54,JALAN SS 15/2D,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,56,JALAN SS 15/2E,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,36,JALAN SS 15/2E,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,22,JALAN SS 15/2E,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,4,JALAN SS 15/2F,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,46,JALAN SS 15/3A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,11,JALAN SS 15/3A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,18,JALAN SS 15/3A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN SS 15/4B,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,23,,,JALAN SS 15/4,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,1,48,BLACK FOREST REFLEXOLOGY,,JALAN SS 15/4,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,1,,,16,JALAN SS 15/4,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN SS 15/4,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,79,JALAN SS 15/4,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,16-Jan,JALAN SS 15/4D,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,196,APARTMENT BNM,,JALAN SS 15/4E,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,41,JALAN SS 15/4E,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,1,JALAN SS 15/4E,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,37,JALAN SS 15/4E,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,CORPORATE TOWER,,JALAN SS 15/4G,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,G,,SS15 COURTYARD,LOT G-08,JALAN SS 15/4G,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
E,,5,SUBANG SQUARE BUSINESS CENTRE,,JALAN SS 15/3B,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,137,JALAN SS 15/5A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,45,JALAN SS 15/5A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,9,JALAN SS 15/5A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,RESTORAN SILVA'S CURRY HOUSE,121,JALAN SS 15/5A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,19,JALAN SS 15/5A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,35,THE PENTHOUSE RESTAURANT & WINE BAR,,JALAN SS 15/5A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,30,JALAN SS 15/5C,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,21,JALAN SS 15/5D,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN SS 15/5D,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,21,JALAN SS 15/5E,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,38,JALAN SS 15/5F,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,36,JALAN SS 15/6,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,28,JALAN SS 15/6,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,23,JALAN SS 15/6,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,154,JALAN SS 15/7,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,7,SELSET EDUCATION CENTRE,,JALAN SS 15/7,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,,JALAN SS 15/8A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,3,KAFE SIMPLE CHICKEN RICE AND NOODLE,,JALAN SS 15/8A,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,1 & 3G,JALAN SS 15/8B,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,4,,WISMA CONSPLANT 2,,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
C,20,12B,CASA TIARA SERVICE SUITES,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,3,AEON BIG (M) SDN BHD,3,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
D,,,CASA TIARA SERVICE SUITES,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,CASA TIARA,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
A,16,10,CASA TIARA SERVICE SUITES,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
B,21,5,CASA TIARA SERVICE SUITES,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
D,12B,8,CASA TIARA SERVICE SUITES,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
B,7,7,CASA TIARA SERVICE SUITES,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,E-TIARA SERVICED APARTMENT,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
L,5,7,E-TIARA SERVICED APARTMENT,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
L,12B,9,CASA TIARA SERVICE APARTMENTS,,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
E,7,12A,ONE SOHO,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
D,11,6,SUBANG AVENUE SERVICED APARTMENTS,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,1,23,SUBANG PARADE,F,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
A,19,7,CASA TIARA SERVICE SUITES,,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
B,17,11,CASA TIARA SERVICE SUITES,,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
D,5,12A,CASA TIARA SERVICE SUITES,,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,3,,EMPIRE HOTEL SUBANG,,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,G,,EMPIRE SHOPPING GALLERY,8 & 8A,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,G,,EMPIRE SHOPPING GALLERY,17,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
B,8,1,EMPIRE SUBANG,,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,KTMB SUBANG JAYA,,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
K,2,1,OLIVES RESIDENCE SUBANG,1,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,OLIVES RESIDENCE SUBANG,2,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
R,4,2,OLIVES RESIDENCE SUBANG,,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
P,15,1,OLIVES RESIDENCE SUBANG,1,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
Q,14,3,OLIVES RESIDENCE SUBANG,,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
B,7,11,SAUJANA RESIDENCY,11,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,8,10,SAUJANA RESIDENCY,10,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,3,6,SAUJANA RESIDENCY,,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
BT,15,2,SAUJANA RESIDENCY,2,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,1,,SUBANG PARADE,F35,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
EAST WING,1,7,WISMA CONSPLANT 2,7,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
EAST WING,G/1ST,7,WISMA CONSPLANT 2,7,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
EAST WING,G/1ST,,WISMA CONSPLANT 2,7,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,TOYOTA MALAYSIA SUBANG,LOT 61716,JALAN SS 16/1,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
WEST TOWER,10,2,WISMA CONSPLANT 1,2,JALAN KEMAJUAN SUBANG,SS 16 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,155,JALAN SS 17/1A,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,28,JALAN SS 17/1B,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,60,JALAN SS 17/1B,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,11A,JALAN SS 17/1C,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,31,JALAN SS 17/1D,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,22,JALAN SS 17/1D,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,56,JALAN SS 17/1E,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,54,JALAN SS 17/1E,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
5,0,7,SUBANG JAYA LAFITE,7,JALAN SS 17/1G,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,SUBANG JAYA LAFITE,,JALAN SS 17/1G,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,LAFITE APARTMENT,406,JALAN SS 17/1G,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,7,JALAN SS 17/1H,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,27,JALAN SS 17/1H,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,G-1A,JAYA SQUARE,LOT 7343,JALAN SS 17/2,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,4,LOT 4-1B,JAYA SQUARE,LOT 7343,JALAN SS 17/2,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,81,JALAN SS 17/2,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,45,JALAN SS 17/2,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,75,JALAN SS 17/2,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN SS 17/2A,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,21,JALAN SS 17/2C,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,28,JALAN SS 17/2F,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,24,JALAN SS 17/2L,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,38,JALAN SS 17/3A,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,16,JALAN SS 17/3A,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,107,JALAN SS 17/3B,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,83,JALAN SS 17/3B,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
